starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 18 09:10:06 2018	1524064206	0	19313	19313	19298
Wed Apr 18 09:10:34 2018	1524064234	0	19328	19328	19312
Wed Apr 18 09:10:32 2018	1524064232	0	19329	19329	19329
Wed Apr 18 09:10:32 2018	1524064232	0	19329	19329	19329
Wed Apr 18 09:10:07 2018	1524064207	0	19330	19330	19314
Wed Apr 18 09:10:07 2018	1524064207	0	19330	19330	19330
Wed Apr 18 09:10:32 2018	1524064232	0	19330	19330	19314
Wed Apr 18 09:10:34 2018	1524064234	1	19336	19337	19336
Wed Apr 18 09:09:23 2018	1524064163	0	19342	19342	19342
Wed Apr 18 09:10:35 2018	1524064235	0	19343	19343	19343
Wed Apr 18 09:09:23 2018	1524064163	0	19343	19343	19343
Wed Apr 18 09:09:23 2018	1524064163	0	19343	19343	19343
Wed Apr 18 09:10:35 2018	1524064235	0	19344	19344	19344
Wed Apr 18 09:10:35 2018	1524064235	0	19344	19344	19344
Wed Apr 18 09:10:35 2018	1524064235	0	19359	19359	19344
Wed Apr 18 09:10:33 2018	1524064233	0	19360	19360	19360
Wed Apr 18 09:10:33 2018	1524064233	0	19360	19360	19360
Wed Apr 18 09:10:07 2018	1524064207	0	19361	19361	19345
Wed Apr 18 09:10:07 2018	1524064207	0	19361	19361	19345
Wed Apr 18 09:10:07 2018	1524064207	0	19361	19361	19361
Wed Apr 18 09:10:32 2018	1524064232	0	19376	19376	19376
Wed Apr 18 09:10:33 2018	1524064233	0	19376	19376	19360
Wed Apr 18 09:10:31 2018	1524064231	0	19385	19385	19385
Wed Apr 18 09:10:07 2018	1524064207	0	19390	19390	19374
Wed Apr 18 09:10:34 2018	1524064234	0	19390	19390	19390
Wed Apr 18 09:10:34 2018	1524064234	0	19390	19390	19390
Wed Apr 18 09:10:35 2018	1524064235	0	19391	19391	19375
Wed Apr 18 09:10:32 2018	1524064232	0	19391	19391	19376
Wed Apr 18 09:10:32 2018	1524064232	0	19391	19391	19376
Wed Apr 18 09:10:33 2018	1524064233	0	19391	19391	19391
Wed Apr 18 09:10:07 2018	1524064207	0	19392	19392	19392
Wed Apr 18 09:10:32 2018	1524064232	0	19406	19406	19406
Wed Apr 18 09:10:34 2018	1524064234	0	19406	19406	19328
Wed Apr 18 09:10:35 2018	1524064235	0	19407	19407	19359
Wed Apr 18 09:10:32 2018	1524064232	0	19407	19407	19407
Wed Apr 18 09:10:07 2018	1524064207	0	19407	19407	19407
Wed Apr 18 09:10:07 2018	1524064207	0	19407	19407	19407
Wed Apr 18 09:10:34 2018	1524064234	0	19408	19408	19392
Wed Apr 18 09:10:34 2018	1524064234	0	19408	19408	19408
Wed Apr 18 09:10:34 2018	1524064234	0	19408	19408	19408
